"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-29","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-30","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-01","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-02","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-03","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-04","93",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-05","95",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-06","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-07","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-08","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-09","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-10","80",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-11","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-12","78",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-13","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-14","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-15","91",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-16","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-17","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-18","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-19","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-20","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-21","87",,
