,OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
155,iOS,US,Greeley,Unknown,female,1999,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Weld County
156,Web,US,Monument,Unknown,male,1997,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,El Paso County
157,Web,US,Fort Collins,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Pueblo County
158,Web,US,Colorado Springs,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Arapahoe County
159,Web,US,Denver,Unknown,male,1950,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Only a little,Only a little,Denver County
160,iOS,US,Longmont,Unknown,female,1962,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Not too important,Not at all worried,Not at all,Don’t know,Boulder County
161,Web,US,Denver,Unknown,female,1980,Once a week,I don’t know,No,Not too important,Not very worried,Only a little,Only a little,Pueblo County
162,Web,US,Denver,Unknown,female,1950,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Only a little,Only a little,Jefferson County
163,Android,US,Unknown,Verizon,male,1974,Once a month,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Only a little,Only a little,Other
164,Android,US,Pagosa Springs,Unknown,male,1956,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,A moderate amount,A great deal,Archuleta
165,Android,US,Denver,Unknown,female,1965,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Only a little,A moderate amount,Crowley
166,Web,US,Colorado Springs,Unknown,female,1990,Once a week,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,Not at all,El Paso County
