OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
iOS,US,Denver,Unknown,female,1993,Every day,Not registered to vote,No,Extremely important,Somewhat worried,A moderate amount,A great deal,Douglas
Android,US,Denver,T-Mobile,male,1961,Once a week,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A great deal,Douglas County
iOS,US,Arvada,T-Mobile,female,1981,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Montezuma County
Android,US,Arvada,T-Mobile,male,1988,Once a week,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Fremont County
iOS,US,Arvada,Sprint,male,1968,Once a week,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A moderate amount,I live in Nebraska
iOS,US,Arvada,Unknown,female,1995,Once a week,"Registered to vote, registered as Republican ",No,Very important,Not very worried,Only a little,A moderate amount,Boulder County
Android,US,Arvada,T-Mobile,female,1954,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Boulder County
Android,US,Arvada,T-Mobile,female,1996,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Fremont County
iOS,US,Arvada,Unknown,female,1976,Once a week,"Registered to vote, registered as Democratic",No,Very important,Very worried,Only a little,A great deal,Jefferson County
Android,US,Arvada,Unknown,female,1972,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Jefferson County
iOS,US,Aurora,Verizon,female,1983,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Aurora,Sprint,male,1963,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
Web,US,Aurora,Unknown,female,1999,Once a week,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Somewhat worried,A moderate amount,A great deal,Denver County
iOS,US,Fort Collins,AT&T,female,1958,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Larimer County
Web,US,Aurora,Unknown,female,1966,Every day,Not registered to vote,No,Very important,Very worried,A moderate amount,A moderate amount,Arapahoe County
Web,US,Aurora,Unknown,male,1962,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Arapahoe County
Android,US,Aurora,T-Mobile,male,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Arapahoe County
Android,US,Windsor,T-Mobile,female,1975,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A great deal,A moderate amount,Weld County
iOS,US,Eagle,AT&T,male,1968,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Eagle County
Android,US,Englewood,Unknown,female,1971,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Greeley,Verizon,female,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Only a little,A moderate amount,Weld County
Android,US,Littleton,T-Mobile,female,1987,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Jefferson County
Web,US,Unknown,Unknown,male,1978,Less than once a month,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,i don't live in colorado
Android,US,Unknown,Unknown,male,1984,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Do not live in Colorado
Web,US,Unknown,Unknown,male,1989,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Not at all,A great deal,El Paso County
iOS,US,Unknown,T-Mobile,male,1980,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Only a little,El Paso County
Android,US,Unknown,Verizon,male,1981,Once a week,Not registered to vote,No,Not at all important,Very worried,Don’t know,Only a little,Delta County
iOS,US,Colorado Springs,AT&T,female,1966,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,El Paso County
iOS,US,Colorado Springs,Unknown,female,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A moderate amount,El Paso County
Web,US,Colorado Springs,Unknown,female,1955,Once a week,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
iOS,US,Dillon,Unknown,female,1996,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Only a little,A moderate amount,Summit County
Android,US,Fort Morgan,Verizon,female,1995,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Only a little,A moderate amount,Morgan County
Web,US,Denver,Unknown,female,1987,Once a week,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Other
Android,US,Denver,Unknown,female,1985,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
Android,US,Denver,Unknown,female,1994,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
Android,US,Denver,Unknown,female,1990,I never use Facebook or Instagram,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,Don’t know,Knoxville tn
Android,US,Denver,Verizon,female,1963,Less than once a month,Not registered to vote,No,Not too important,Not very worried,Don’t know,Don’t know,Adams County
Android,US,Denver,T-Mobile,male,1987,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A moderate amount,Eagle County
Web,US,Denver,Unknown,female,1967,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Douglas County
iOS,US,Denver,Unknown,male,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Denver County
Unknown,US,Denver,Unknown,male,1985,I never use Facebook or Instagram,I don’t know,Not sure,Not at all important,Somewhat worried,Don’t know,Don’t know,Other
Web,US,Denver,Unknown,female,1959,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Don’t know,Jefferson County
Android,US,Denver,T-Mobile,male,1954,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Only a little,Only a little,Adams County
iOS,US,Denver,T-Mobile,female,1970,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Adams County
Android,US,Pueblo,Unknown,male,1988,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A moderate amount,Pueblo County
Android,US,Denver,Verizon,female,1973,Every day,Not registered to vote,No,Not too important,Not very worried,Don’t know,Don’t know,I live in wyoming
Android,US,Denver,AT&T,female,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,Don’t know,A great deal,Denver County
Android,US,Denver,T-Mobile,female,1990,Every day,Not registered to vote,Not sure,Somewhat important,Not very worried,Only a little,Only a little,Other
iOS,US,Longmont,Unknown,female,1968,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Boulder County
Android,US,Palisade,Sprint,female,1971,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Only a little,A moderate amount,Mesa County
iOS,US,Denver,Unknown,female,1989,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Adams County
iOS,US,Denver,AT&T,female,1977,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Arvada,T-Mobile,male,1976,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Only a little,A moderate amount,Broomfield County
Android,US,Aurora,T-Mobile,female,1972,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Don’t know,Don’t know,Arapahoe County
Web,US,Aurora,Unknown,female,1953,I never use Facebook or Instagram,Not registered to vote,No,Very important,Very worried,A moderate amount,A great deal,Adams County
iOS,US,Aurora,T-Mobile,female,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Not at all,A moderate amount,Arapahoe County
Android,US,Fort Collins,Unknown,male,1981,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A great deal,A moderate amount,Delta County
Android,US,Durango,AT&T,female,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A great deal,La Plata County
iOS,US,Brighton,Unknown,female,1999,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,Adams County
Android,US,Greeley,Unknown,female,2001,I never use Facebook or Instagram,Not registered to vote,No,Very important,Somewhat worried,Only a little,A great deal,Weld County
iOS,US,Greeley,Verizon,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,Don’t know,A great deal,Weld County
