survey_id,survey_name,language,last_connection_date,week_of_last_connection,start_time_of_last_connectio,duration_of_connection_in_seconds,duration_of_connection_in_minutes,last_question_filled,number_of_connections,disposition,total_duration_in_sec,device,device_os,survey_link,person_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
30956,DTP001,en,20210615,2,22:07:32,53,1,Q7,1,1,53,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfIxQU1pZoygScMqudar6jBGNohaN2GeLtPLKiExqaGuW,18436308,1,3,1,3,2,37,2
6023,DTP001,en,20210614,1,17:19:00,55,1,Q7,1,1,55,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfE4iZtfaJm8Dv%2FJ8ObZsK68n4oxw7k4iE%2BUrtx1oNx8z,17997803,1,1,1,4,2,36,2
52288,DTP001,en,20210615,2,17:15:39,55,1,Q7,1,1,55,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfIUx%2BvdFettKu11YRnLkOZvQVjsECcyTEj2AmjtxH8gM,17304308,1,5,5,5,4,45,2
50985,DTP001,en,20210615,2,19:35:14,55,1,Q7,1,1,55,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfIFhoeyF0aIcW59A35Ki2Yw2OADn9imaOdtItWC56QJf,16442498,1,2,1,3,4,34,1
461,DTP001,en,20210619,6,14:42:10,60,1,Q7,1,1,60,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfLo8ElGpf%2BOycuewC66PNyMUSTUB%2FJr7fgLHFaI2YMhc,15592043,1,3,2,1,2,35,2
13754,DTP001,en,20210619,6,14:24:13,60,1,Q7,1,1,60,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfKW7ixiLu3cSCaRs4f%2F8D%2FxA8Nhw0NBPyt1snkOyRJ72,2828177,1,2,1,2,2,41,2
52014,DTP001,en,20210615,2,17:31:32,60,1,Q7,1,1,60,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfCFeDUsSYlKQMAyF7TKPzzTz6M2x0aqAfpwaMuuAt0pc,17133688,1,5,1,2,2,50,2
38073,DTP001,en,20210614,1,17:46:27,63,1,Q7,1,1,63,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfH%2FebkPt%2BjC7%2FHyY4Fc88JYGFfZUSFfa%2FRwpLd0zwPYF,4349145,1,1,1,4,2,34,1
17476,DTP001,en,20210615,2,16:56:24,319,5,Q7,1,1,319,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfO1avWgu4%2B%2BW0sTtlzjYHkEgfIQF6kGUyTGIEdn7yHNS,15426716,1,1,1,2,2,40,2
32258,DTP001,en,20210614,1,17:29:05,64,1,Q7,1,1,64,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfFYrqakvbKXJA0nS7K4MmTh%2F8vU5sdc05dlsZqXEp6d1,564115,1,3,4,3,4,61,2
81244,DTP001,en,20210614,1,17:59:13,66,1,Q7,1,1,66,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfLYezCMTwdxN85xhhto2QfMP5xH6ZpVgCCuRx6jPvRtj,15707196,1,1,1,4,2,29,2
18720,DTP001,en,20210615,2,18:01:54,66,1,Q7,1,1,66,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfI8uW0YZctw3j9R%2B1vXTx6VZVKiQ8OtOhBfUL7TwoUUQ,15306500,1,1,4,2,4,31,2
5018,DTP001,en,20210619,6,14:53:12,67,1,Q7,1,1,67,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfGXHDJL3LW8Thw%2Bapfo%2BsOpqwWooyb2godu90GGCEgCT,17992589,1,1,1,3,2,28,2
94260,DTP001,en,20210615,2,21:44:45,67,1,Q7,1,1,67,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfDUZrI5uSVFV5kKtAmbEvHFYPKOgmou9qZixvagdDQ1P,18182668,1,3,3,2,2,30,2
51529,DTP001,en,20210615,2,00:45:22,68,1,Q7,1,1,68,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfFQalvrwDQFnEQ0PCuE3v4Y89iAB7t3Sfi6o5iwreRm2,2641224,1,2,1,3,2,58,1
2245,DTP001,en,20210615,2,18:13:14,69,1,Q7,1,1,69,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfHldol6hspBQb0jb9gnNH9ebSl1AlSh25JH5L8O52Tn2,15757135,1,1,1,3,4,30,2
81924,DTP001,en,20210614,1,18:07:42,69,1,Q7,1,1,69,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfOVmcmOUsmy1QklOFbLP8PjR3kKfcCoDWQDJQzHCMrt7,16906735,1,1,5,5,4,43,2
46616,DTP001,en,20210614,1,20:33:15,70,1,Q7,1,1,70,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfCNUVN66ygyiJH4TopmLre1K6jHLvMwQln0FiWaky60N,271994,1,3,1,5,2,60,2
19154,DTP001,en,20210619,6,14:41:42,70,1,Q7,1,1,70,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfHkbdeq60HeezleVoLzt4zqOjkEeV26moUCMQFrduISy,15709352,1,4,1,2,2,38,2
19330,DTP001,en,20210619,6,14:17:25,583,10,Q7,1,1,583,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfPU1ABbNziFDfOXhGjwhBjQQvIZy9ubqpV%2Bw%2Bo9Hu65U,18389132,1,4,1,1,2,38,2
11188,DTP001,en,20210619,6,14:47:54,72,1,Q7,1,1,72,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfGvP38sAbJTz8E6MxpRUB9dYQG8tx7Yy1S3wB1aKiVhA,16023248,1,5,1,2,3,31,2
52246,DTP001,en,20210615,2,09:27:26,72,1,Q7,2,1,72,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfMoExUy5%2Bbrob%2B6ZIpeJ0nfh%2FsYUZlTJrYbgl88qL%2BjP,2129142,1,1,1,1,2,57,2
